satellite;1401
network;706
routing;624
system;490
operator;485
algorithm;461
packet;397
node;391
traffic;391
link;348
price;205
handover;199
topology;189
hap;186
footprint;174
adaptive;161
delay;153
area;150
performance;146
burst;143
market;143
constellation;142
hop;142
flow;138
load;137
change;137
technique;135
table;132
leo;131
game;130
dynamic;129
par;126
order;124
orbit;124
communication;123
revenue;119
service;118
coalition;117
isl;116
data;110
simulation;109
utilization;109
mechanism;106
isls;105
route;104
throughput;102
drop;101
scheme;101
parameter;100
ratio;99
